,url,timestamp_start,timestamp_finish,n_segment,t_download_s,body_size_byte,bandwidth_mbit,byte_start,byte_end,seg_len_s,t_start,t_end,quality_level_chosen,bitrate_level,vmaf_level,bitrate_level_encoded
0,https://arteptweb-vh.akamaihd.net/i/am/ptweb/071000/071400/071498-006-A_0_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.vmH3M4Six.smil/segment1_3_av.ts,1572250784.8179998,1572250789.729,0,4.632,521324,0.9003868739205527,0,0,10.080333,0.0,10.08,0,409621.0,37.71203429149792,465202.28125
1,https://arteptweb-vh.akamaihd.net/i/am/ptweb/071000/071400/071498-006-A_0_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.vmH3M4Six.smil/segment2_3_av.ts,1572250789.779,1572250794.7589998,1,4.944,674732,1.091799352750809,0,0,10.155,10.08,20.24,0,541632.0,39.394207661290345,465202.28125
2,https://arteptweb-vh.akamaihd.net/i/am/ptweb/071000/071400/071498-006-A_0_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.vmH3M4Six.smil/segment3_3_av.ts,1572250794.803,1572250799.542,2,4.723,716468,1.2135811983908529,0,0,10.12,20.24,30.36,0,569875.0,6.175264777327935,465202.28125
3,https://arteptweb-vh.akamaihd.net/i/am/ptweb/071000/071400/071498-006-A_0_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.vmH3M4Six.smil/segment4_3_av.ts,1572250799.5779998,1572250801.934,3,2.343,328812,1.1227042253521131,0,0,10.064333,30.36,40.42,0,263049.0,11.918107338709671,465202.28125
4,https://arteptweb-vh.akamaihd.net/i/am/ptweb/071000/071400/071498-006-A_0_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.vmH3M4Six.smil/segment5_3_av.ts,1572250804.8879998,1572250807.909,4,3.011,428076,1.1373656592494186,0,0,10.080333,40.42,50.5,0,327847.0,9.7627395951417,465202.28125
5,https://arteptweb-vh.akamaihd.net/i/am/ptweb/071000/071400/071498-006-A_0_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.vmH3M4Six.smil/segment6_3_av.ts,1572250814.8879998,1572250817.346,5,2.439,367540,1.2055432554325545,0,0,10.075,50.5,60.58,0,298536.0,13.46098137096774,465202.28125
6,https://arteptweb-vh.akamaihd.net/i/am/ptweb/071000/071400/071498-006-A_0_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.vmH3M4Six.smil/segment7_3_av.ts,1572250824.8879998,1572250828.816,6,3.918,508916,1.039134252169474,0,0,10.189667,60.57,70.76,0,428119.0,44.58777753036438,465202.28125
7,https://arteptweb-vh.akamaihd.net/i/am/ptweb/071000/071400/071498-006-A_0_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.vmH3M4Six.smil/segment8_3_av.ts,1572250834.8879998,1572250841.144,7,6.246,614196,0.7866743515850143,0,0,10.144333,70.76,80.9,0,522640.0,0.0,465202.28125
8,https://arteptweb-vh.akamaihd.net/i/am/ptweb/071000/071400/071498-006-A_0_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.vmH3M4Six.smil/segment9_3_av.ts,1572250844.8879998,1572250848.946,8,4.048,418676,0.8274229249011857,0,0,10.160333,80.91,91.07,0,308305.0,6.874209757085023,465202.28125
9,https://arteptweb-vh.akamaihd.net/i/am/ptweb/071000/071400/071498-006-A_0_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.vmH3M4Six.smil/segment10_3_av.ts,1572250854.8879998,1572250860.268,9,5.369,485228,0.7230068914136711,0,0,10.16,91.07,101.23,0,375762.0,14.250895685483869,465202.28125
10,https://arteptweb-vh.akamaihd.net/i/am/ptweb/071000/071400/071498-006-A_0_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.vmH3M4Six.smil/segment11_3_av.ts,1572250864.8879998,1572250869.54,10,4.642,547644,0.9438069797501076,0,0,10.2,101.23,111.43,0,432624.0,21.92791433198381,465202.28125
11,https://arteptweb-vh.akamaihd.net/i/am/ptweb/071000/071400/071498-006-A_0_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.vmH3M4Six.smil/segment12_3_av.ts,1572250874.8879998,1572250878.613,11,3.714,545764,1.1755821217016695,0,0,10.104333,111.43,121.53,0,429392.0,11.854512096774194,465202.28125
12,https://arteptweb-vh.akamaihd.net/i/am/ptweb/071000/071400/071498-006-A_0_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.vmH3M4Six.smil/segment13_3_av.ts,1572250884.8879998,1572250888.074,12,3.176,427700,1.0773299748110832,0,0,10.160333,121.53,131.69,0,349192.0,37.367905384615405,465202.28125
13,https://arteptweb-vh.akamaihd.net/i/am/ptweb/071000/071400/071498-006-A_0_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.vmH3M4Six.smil/segment14_3_av.ts,1572250894.8879998,1572250909.234,13,14.331,2048636,1.1436109134045078,0,0,10.2,131.69,141.89,0,1682891.0,41.624546411290346,465202.28125
14,https://arteptweb-vh.akamaihd.net/i/am/ptweb/071000/071400/071498-006-A_0_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.vmH3M4Six.smil/segment15_3_av.ts,1572250909.275,1572250914.66,14,5.3740000000000006,641644,0.9551827316710084,0,0,10.149666999999999,141.89,152.04,0,524525.0,14.701423441295544,465202.28125
15,https://arteptweb-vh.akamaihd.net/i/am/ptweb/071000/071400/071498-006-A_0_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.vmH3M4Six.smil/segment16_3_av.ts,1572250914.887,1572250920.7489998,15,5.853,535988,0.7325993507602939,0,0,10.08,152.04,162.12,0,455260.0,20.45699740890688,465202.28125
16,https://arteptweb-vh.akamaihd.net/i/am/ptweb/071000/071400/071498-006-A_0_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.vmH3M4Six.smil/segment17_3_av.ts,1572250924.887,1572250928.8690002,16,3.973,448756,0.9036113767933552,0,0,10.080333,162.12,172.2,0,354003.0,4.139185846774193,465202.28125
17,https://arteptweb-vh.akamaihd.net/i/am/ptweb/071000/071400/071498-006-A_0_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.vmH3M4Six.smil/segment18_3_av.ts,1572250934.8879998,1572250937.091,17,2.195,284444,1.0366979498861049,0,0,10.195,172.2,182.4,0,220108.0,2.25922024291498,465202.28125
18,https://arteptweb-vh.akamaihd.net/i/am/ptweb/071000/071400/071498-006-A_0_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.vmH3M4Six.smil/segment19_3_av.ts,1572250944.8879998,1572250948.168,18,3.272,287076,0.7018973105134474,0,0,10.069666999999999,182.4,192.47,0,214885.0,0.10258955645161287,465202.28125
19,https://arteptweb-vh.akamaihd.net/i/am/ptweb/071000/071400/071498-006-A_0_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.vmH3M4Six.smil/segment20_3_av.ts,1572250954.8879998,1572250957.521,19,2.625,340468,1.0376167619047618,0,0,10.104333,192.47,202.57,0,219433.0,1.2634915789473682,465202.28125
20,https://arteptweb-vh.akamaihd.net/i/am/ptweb/071000/071400/071498-006-A_0_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.vmH3M4Six.smil/segment21_3_av.ts,1572250964.8879998,1572250972.365,20,7.47,316404,0.33885301204819274,0,0,10.080333,202.57,212.65,0,245772.0,3.7585152016129033,465202.28125
21,https://arteptweb-vh.akamaihd.net/i/am/ptweb/071000/071400/071498-006-A_0_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.vmH3M4Six.smil/segment22_3_av.ts,1572250974.8879998,1572250978.248,21,3.3510000000000004,352876,0.842437481348851,0,0,10.115,212.65,222.76,0,277201.0,13.391541457489872,465202.28125
22,https://arteptweb-vh.akamaihd.net/i/am/ptweb/071000/071400/071498-006-A_0_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.vmH3M4Six.smil/segment23_3_av.ts,1572250984.8879998,1572250988.205,22,3.309,391604,0.9467609549712904,0,0,10.149666999999999,222.77,232.92,0,293572.0,24.266866008064518,465202.28125
23,https://arteptweb-vh.akamaihd.net/i/am/ptweb/071000/071400/071498-006-A_0_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.vmH3M4Six.smil/segment24_3_av.ts,1572250994.8879998,1572251001.94,23,7.042999999999998,914996,1.039325287519523,0,0,10.08,232.92,243.0,0,758467.0,44.837174291497966,465202.28125
24,https://arteptweb-vh.akamaihd.net/i/am/ptweb/071000/071400/071498-006-A_0_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.vmH3M4Six.smil/segment25_3_av.ts,1572251004.8879998,1572251017.566,24,12.67,1044716,0.6596470402525652,0,0,10.080333,243.0,253.08,0,813681.0,18.994731008064512,465202.28125
25,https://arteptweb-vh.akamaihd.net/i/am/ptweb/071000/071400/071498-006-A_0_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.vmH3M4Six.smil/segment26_3_av.ts,1572251017.591,1572251024.4810002,25,6.882999999999999,409276,0.4756949004794421,0,0,10.115,253.08,263.2,0,317467.0,22.543741781376518,465202.28125
